time,n_iter,distance,n_round,sigma,sigma_GKP,sigma_idle,with_info,method,X_err_rate,Z_err_rate,Y_err_rate,avg_n_measure
260506_191103,100000,7,7,0.0667,0.0667,0.0667,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,336.0
260506_185858,50000,7,7,0.0933,0.0000,0.0933,True,default_tracking_old,0.035400000000000,0.033600000000000,0.001400000000000,336.0
260506_192254,10000,7,7,0.1000,0.1000,0.1000,True,default_tracking_old,0.242300000000000,0.243100000000000,0.147000000000000,336.0
260506_192303,10000,7,7,0.1067,0.1067,0.1067,True,default_tracking_old,0.248600000000000,0.250500000000000,0.230000000000000,336.0
260506_191320,100000,7,7,0.0733,0.0733,0.0733,True,default_tracking_old,0.000570000000000,0.000390000000000,0.000000000000000,336.0
260506_192535,10000,7,7,0.1133,0.1133,0.1133,True,default_tracking_old,0.255200000000000,0.257900000000000,0.245600000000000,336.0
260506_192845,10000,7,7,0.1200,0.1200,0.1200,True,default_tracking_old,0.248200000000000,0.250000000000000,0.245700000000000,336.0
260506_191830,50000,7,7,0.0867,0.0867,0.0867,True,default_tracking_old,0.067060000000000,0.065840000000000,0.005420000000000,336.0
260506_191624,100000,7,7,0.0800,0.0800,0.0800,True,default_tracking_old,0.010020000000000,0.009850000000000,0.000050000000000,336.0
260506_192152,50000,7,7,0.0933,0.0933,0.0933,True,default_tracking_old,0.178320000000000,0.178660000000000,0.048820000000000,336.0
260506_224741,100000,9,9,0.0000,0.1200,0.0000,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,3.578
260506_224935,100000,9,9,0.0000,0.1333,0.0000,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,14.162
260506_230932,50000,9,9,0.0000,0.1733,0.0000,True,adaptive_global_success_one_zero_old,0.000040000000000,0.000140000000000,0.000000000000000,59.988
260506_230442,100000,9,9,0.0000,0.1467,0.0000,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,32.8244
260506_230726,100000,9,9,0.0000,0.1600,0.0000,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,48.6664
260506_232319,10000,9,9,0.0000,0.2000,0.0000,True,adaptive_global_success_one_zero_old,0.024900000000000,0.022900000000000,0.000600000000000,165.128
260506_232159,50000,9,9,0.0000,0.1867,0.0000,True,adaptive_global_success_one_zero_old,0.001520000000000,0.001740000000000,0.000000000000000,101.004
260506_232509,10000,9,9,0.0000,0.2133,0.0000,True,adaptive_global_success_one_zero_old,0.108100000000000,0.107300000000000,0.016000000000000,256.884
260506_233140,100000,9,9,0.0600,0.0000,0.0600,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,16.2708
260506_233324,100000,9,9,0.0667,0.0000,0.0667,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,28.6928
260506_233841,100000,9,9,0.0733,0.0000,0.0733,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,27.7948
260506_234648,50000,9,9,0.0867,0.0000,0.0867,True,adaptive_global_success_one_zero_old,0.005960000000000,0.006120000000000,0.000060000000000,86.0704
260506_234517,100000,9,9,0.0800,0.0000,0.0800,True,adaptive_global_success_one_zero_old,0.000160000000000,0.000120000000000,0.000000000000000,44.4396
